epoch,avg train loss,avg test loss,test accuracy,test f1,timestamp
1,0.829,0.679,0.7832,0.6332,2024-05-05 14:36:36.8
2,0.4803,0.5791,0.8863,0.8312,2024-05-05 14:51:40.3
3,0.2608,0.7411,0.9123,0.8962,2024-05-05 15:05:18.8
4,0.1411,1.313,0.9194,0.9062,2024-05-05 15:18:50.4
