epoch,avg train loss,avg test loss,test accuracy,test f1,timestamp
1,1.2154,0.9160,0.5877,0.4296,2024-05-05 21:50:23.755558
2,0.9228,0.8248,0.7180,0.6747,2024-05-05 21:56:09.196494
3,0.6452,0.6942,0.7773,0.7385,2024-05-05 22:01:41.866594
4,0.4148,0.5713,0.8732,0.8538,2024-05-05 22:07:02.869163
5,0.3047,0.6870,0.8945,0.8790,2024-05-05 22:12:27.116514
6,0.2785,0.6836,0.8756,0.8598,2024-05-05 22:17:53.062600
7,0.2290,0.7596,0.8720,0.8705,2024-05-05 22:23:25.164417
8,0.1788,0.8271,0.9064,0.8931,2024-05-05 22:29:14.530298
